reference,source_type,year,page,term,defined,type,definition,definitions_cited,definition_breadth,emic_component,functional_component,morphological_component,raw_material_component,technological_component,materialist_typological,region,notes
"Moore, M.W. 2013 Simple stone flaking in Australasia: patterns and implications. Quaternary International 285:140–149.",paper,2013,na,single-platform core,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Moore, M.W. 2013 Simple stone flaking in Australasia: patterns and implications. Quaternary International 285:140–149.",paper,2013,na,multiplatform core,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Moore, M.W. 2013 Simple stone flaking in Australasia: patterns and implications. Quaternary International 285:140–149.",paper,2013,na,bifacial core,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Moore, M.W. 2013 Simple stone flaking in Australasia: patterns and implications. Quaternary International 285:140–149.",paper,2013,na,bipolar core,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Moore, M.W. 2013 Simple stone flaking in Australasia: patterns and implications. Quaternary International 285:140–149.",paper,2013,na,Levallois core,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Moore, M.W. 2015 Bifacial Flintknapping in the Northwest Kimberley, Western Australia. Journal of Archaeological Method and Theory 22(3):913–951.",paper,2015,na,core,no,category,na,na,na,na,na,na,na,na,na,Western Australia,
"Moore, M.W., K. Westaway, J. Ross, K. Newman, Y. Perston, J. Huntley, S. Keats, C. Kandiwal Aboriginal, and M.J. Morwood 2020 Archaeology and art in context: Excavations at the Gunu Site Complex, Northwest Kimberley, Western Australia. PLOS ONE 15(2):e0226628.",paper,2020,na,core,no,category,na,na,na,na,na,na,na,na,na,Western Australia,
"Moore, M.W., K. Westaway, J. Ross, K. Newman, Y. Perston, J. Huntley, S. Keats, C. Kandiwal Aboriginal, and M.J. Morwood 2020 Archaeology and art in context: Excavations at the Gunu Site Complex, Northwest Kimberley, Western Australia. PLOS ONE 15(2):e0226628.",paper,2020,na,flake blank,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Moore, M.W., K. Westaway, J. Ross, K. Newman, Y. Perston, J. Huntley, S. Keats, C. Kandiwal Aboriginal, and M.J. Morwood 2020 Archaeology and art in context: Excavations at the Gunu Site Complex, Northwest Kimberley, Western Australia. PLOS ONE 15(2):e0226628.",paper,2020,na,producer core,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Moore, M.W., K. Westaway, J. Ross, K. Newman, Y. Perston, J. Huntley, S. Keats, C. Kandiwal Aboriginal, and M.J. Morwood 2020 Archaeology and art in context: Excavations at the Gunu Site Complex, Northwest Kimberley, Western Australia. PLOS ONE 15(2):e0226628.",paper,2020,23,unifacial end truncation x 1 quartz crystal core (Type 1),yes,subcategory,"""One end of the crystal (usually the distal end) was reduced unifacially, with scars oriented down the crystal’s long axis.""",na,na,no,implicit,no,explicit,explicit,typological,Western Australia,
"Moore, M.W., K. Westaway, J. Ross, K. Newman, Y. Perston, J. Huntley, S. Keats, C. Kandiwal Aboriginal, and M.J. Morwood 2020 Archaeology and art in context: Excavations at the Gunu Site Complex, Northwest Kimberley, Western Australia. PLOS ONE 15(2):e0226628.",paper,2020,23,unifacial end truncation x 2 quartz crystal core (Type 2),yes,subcategory,"""As for Type 1, but with both ends of the crystal reduced unifacially. Reduction may sometimes be onto different crystal faces at opposite ends, creating a twisted, ‘propeller-like’ morphology.""",na,na,no,implicit,explicit,explicit,explicit,typological,Western Australia,
"Moore, M.W., K. Westaway, J. Ross, K. Newman, Y. Perston, J. Huntley, S. Keats, C. Kandiwal Aboriginal, and M.J. Morwood 2020 Archaeology and art in context: Excavations at the Gunu Site Complex, Northwest Kimberley, Western Australia. PLOS ONE 15(2):e0226628.",paper,2020,23,"bifacial end truncation
x 1 quartz crystal core (Type 3)",yes,subcategory,"""One end of the crystal is reduced in a similar manner to Type 1, but with flakes struck to opposite faces, creating a bifacial edge.""",na,na,no,implicit,no,explicit,explicit,typological,Western Australia,
"Moore, M.W., K. Westaway, J. Ross, K. Newman, Y. Perston, J. Huntley, S. Keats, C. Kandiwal Aboriginal, and M.J. Morwood 2020 Archaeology and art in context: Excavations at the Gunu Site Complex, Northwest Kimberley, Western Australia. PLOS ONE 15(2):e0226628.",paper,2020,23,"bifacial end truncation
x 2 quartz crystal core (Type 4)",yes,subcategory,"""As for Type 3, but with both ends of the crystal reduced bifacially. Bifacial edges may be oriented in the same plane, but this is not always the case.""",na,na,no,implicit,no,explicit,explicit,typological,Western Australia,
"Moore, M.W., K. Westaway, J. Ross, K. Newman, Y. Perston, J. Huntley, S. Keats, C. Kandiwal Aboriginal, and M.J. Morwood 2020 Archaeology and art in context: Excavations at the Gunu Site Complex, Northwest Kimberley, Western Australia. PLOS ONE 15(2):e0226628.",paper,2020,23,"end truncation, mixture quartz crystal core (Type 5)",yes,subcategory,"""Cores with different treatment at opposite ends (e.g., unifacial at one end and bifacial at the opposite end). This type may be subdivided accordingly""",na,na,no,implicit,no,explicit,explicit,typological,Western Australia,
"Moore, M.W., K. Westaway, J. Ross, K. Newman, Y. Perston, J. Huntley, S. Keats, C. Kandiwal Aboriginal, and M.J. Morwood 2020 Archaeology and art in context: Excavations at the Gunu Site Complex, Northwest Kimberley, Western Australia. PLOS ONE 15(2):e0226628.",paper,2020,23,unifacial centripetal quartz crystal core (Type 6),yes,subcategory,"""Cores with flakes struck unifacially from one or both ends extending down one or both lateral sides of the crystal. Scars are oriented towards the middle of the core face (centripetally). The opposite surface is unmodified and marked by crystal growth facets. Cores may be reduced around the complete periphery, although this is not always the case.""",na,na,no,implicit,no,explicit,explicit,typological,Western Australia,
"Moore, M.W., K. Westaway, J. Ross, K. Newman, Y. Perston, J. Huntley, S. Keats, C. Kandiwal Aboriginal, and M.J. Morwood 2020 Archaeology and art in context: Excavations at the Gunu Site Complex, Northwest Kimberley, Western Australia. PLOS ONE 15(2):e0226628.",paper,2020,23,bifacial centripetal quartz crystal core (Type 7),yes,subcategory,"""As for Type 6, but with flakes struck to both faces, creating a bifacial edge between them.""",na,na,no,implicit,no,explicit,explicit,typological,Western Australia,
"Moore, M.W., K. Westaway, J. Ross, K. Newman, Y. Perston, J. Huntley, S. Keats, C. Kandiwal Aboriginal, and M.J. Morwood 2020 Archaeology and art in context: Excavations at the Gunu Site Complex, Northwest Kimberley, Western Australia. PLOS ONE 15(2):e0226628.",paper,2020,23,multiplatform quartz crystal core (Type 8),yes,subcategory,"""Core rotated out of the centripetal reduction plane to establish a new, independent platform surface, usually by striking a flake from the distal end of a previous flake scar.""",na,na,no,implicit,no,explicit,explicit,typological,Western Australia,
"Moore, M.W., K. Westaway, J. Ross, K. Newman, Y. Perston, J. Huntley, S. Keats, C. Kandiwal Aboriginal, and M.J. Morwood 2020 Archaeology and art in context: Excavations at the Gunu Site Complex, Northwest Kimberley, Western Australia. PLOS ONE 15(2):e0226628.",paper,2020,23,columnar quartz crystal core (Type 9),yes,subcategory,"""Core rotated around the long axis during reduction, with flakes struck down the length of the crystal, creating a column-like morphology. Columnar cores are reduced from only one end of the crystal.""",na,na,no,implicit,explicit,explicit,explicit,typological,Western Australia,
"Moore, M.W., K. Westaway, J. Ross, K. Newman, Y. Perston, J. Huntley, S. Keats, C. Kandiwal Aboriginal, and M.J. Morwood 2020 Archaeology and art in context: Excavations at the Gunu Site Complex, Northwest Kimberley, Western Australia. PLOS ONE 15(2):e0226628.",paper,2020,23,other crystal core (Type 10),yes,subcategory,"""Crystal cores not matching the above criteria.""",na,na,no,implicit,no,explicit,implicit,typological,Western Australia,
"Morrison, M. 2014 Chronological trends in late Holocene shell mound construction across northern Australia:Insights from Albatross Bay, Cape York Peninsula. Australian Archaeology 79(1):1–13.",paper,2014,na,na,na,na,na,na,na,na,na,na,na,na,na,Queensland,
"Morse, K. 1993 West side story: towards a prehistory of the Cape Range Peninsula, Western Australia. PhD, Perth, University of Western Australia.",thesis_phd,1993,90,single platform core,yes,subcategory,"""Single platform cores have unidirectional flaking from either a natural or prepared striking platform.""",na,na,no,implicit,no,no,explicit,typological,Western Australia,"definition contains no explicit functional component, but other categories imply that there is one"
"Morse, K. 1993 West side story: towards a prehistory of the Cape Range Peninsula, Western Australia. PhD, Perth, University of Western Australia.",thesis_phd,1993,90,multi-platform core,yes,subcategory,"""Multi-platform cores have unidirectional flaking from two or more platforms, either prepared or natural, and illustrate core rotation.""",na,na,no,implicit,no,no,explicit,typological,Western Australia,"definition contains no explicit functional component, but other categories imply that there is one"
"Morse, K. 1993 West side story: towards a prehistory of the Cape Range Peninsula, Western Australia. PhD, Perth, University of Western Australia.",thesis_phd,1993,90,core fragment,yes,subcategory,"""Core fragments are pieces with three or more partial negative flake scars which have lost their striking platforms through breakage along natural fracture planes.""",na,na,no,implicit,no,no,explicit,typological,Western Australia,"definition contains no explicit functional component, but other categories imply that there is one"
"Morse, K. 1993 West side story: towards a prehistory of the Cape Range Peninsula, Western Australia. PhD, Perth, University of Western Australia.",thesis_phd,1993,91,chopper or chopping tool,yes,subcategory,"""Choppers and chopping tools are generally large pieces of stone, or creek pebbles, that a unifacially (choppers) or bifacially (chopping tools) retouched edge.""",na,na,no,explicit,no,explicit,explicit,typological,Western Australia,
"Morse, K. 1993 West side story: towards a prehistory of the Cape Range Peninsula, Western Australia. PhD, Perth, University of Western Australia.",thesis_phd,1993,91,core-scraper,yes,subcategory,"""this term was used during the initial midden survey to define cores with stepflaking and undercutting on the margins of their striking platforms, that was taken to represent intentional retouch or utilisation. However, there is now a body of data (cf. Veth 1989 b) which demonstrates that similar edge damage is produced from platform preparation. In the absence of use-wear analysis these artefacts are considered only equivocal implements.""","Veth, P. 1989 The prehistory of sandy deserts: spatial and temporal variation in settlement and subsistence behaviour within the arid zone of Australia. PhD, Perth, University of Western Australia.",na,no,explicit,no,no,explicit,typological,Western Australia,
"Morse, K. 1993 West side story: towards a prehistory of the Cape Range Peninsula, Western Australia. PhD, Perth, University of Western Australia.",thesis_phd,1993,90,core,yes,category,"""piece of stone which has at least three negative flake scars.""",na,broad,no,implicit,no,no,explicit,typological,Western Australia,"definition contains no explicit functional component, but other categories imply that there is one"
"Morse, K., R. Cameron, and W. Reynen 2014 A tale of three caves: New dates for Pleistocene occupation in the inland Pilbara. Australian Archaeology 79(1):167–178.",paper,2014,na,na,na,na,na,na,na,na,na,na,na,na,na,Western Australia,
"Morwood, M.J. 1979 Art and stone: towards a prehistory of central western Queensland. PhD, Canberra, Australian National University.",thesis_phd,1979,97,bipolar core,yes,subcategory,"""Cores with evidence of crushing opposite the striking platform, indicating use of an anvil as well as a hammerstone, in the detachment of flakes.""","White, J.P. 1968 Fabricators, outils écaillés or scalar cores? Mankind 6(12):658–666.",na,no,implicit,no,no,explicit,typological,Queensland,"definition contains no explicit functional component, but definition cited implies that there is one"
"Morwood, M.J. 1979 Art and stone: towards a prehistory of central western Queensland. PhD, Canberra, Australian National University.",thesis_phd,1979,97,blade core,yes,subcategory,"""A core which gives evidence of the systematic removal of blades.""",na,na,no,implicit,no,no,explicit,typological,Queensland,"definition contains no explicit functional component, but definition cited implies that there is one"
"Morwood, M.J. 1979 Art and stone: towards a prehistory of central western Queensland. PhD, Canberra, Australian National University.",thesis_phd,1979,95,high backed core,yes,subcategory,"""a single-platformed core, on which flake scars rise from the periphery of the worked edge, to high apex or ridge""","Allen, H. 1972 The land where the crow flies backwards: man and land in the Darling Basin. PhD, Canberra, Australian National University.

Lampert, R.J. 1971 Burrill Lake and Currarong: coastal sites in southern New South Wales. Canberra, Department of Prehistory and Research School of Pacific Studies, ANU.

Mulvaney, D.J. 1975 The prehistory of Australia. Revised edition. Harmondsworth, Pelican.

Sanders, B. 1975 Scrapers from Ingaladdi. MA, Canberra, Australian National University.",na,no,implicit,no,no,explicit,typological,Queensland,"definition contains no explicit functional component, but definition cited implies that there is one"
"Morwood, M.J. 1979 Art and stone: towards a prehistory of central western Queensland. PhD, Canberra, Australian National University.",thesis_phd,1979,96,horsehoof core,yes,subcategory,"""a single-platformed, high-backed core, with flake scars arising from the periphery of the worked edge, to an apex or ridge, and with step- terminated flake scars which undercut some portions of the striking platform... The dorsal platform is approximately parallel to the ventral surface, making implement rectangular in cross-section.""","Gould, R.A. 1977 Ethno-archaeology ; or, where do the models come from? In R.V.S. Wright (ed.), pp.162–168. Stone tools as cultural markers: change, evolution and complexity. Canberra, Australian Institute of Aboriginal Studies.

Lampert, R.J. 1971 Burrill Lake and Currarong: coastal sites in southern New South Wales. Canberra, Department of Prehistory and Research School of Pacific Studies, ANU.

McCarthy, F.D. 1967 Australian Aboriginal stone implements: including bone, shell and tooth implements. Sydney, Australian Museum Trust.

Mulvaney, D.J. and E.B. Joyce 1965 Archaeological and Geomorphological Investigations on Mt. Moffatt Station, Queensland, Australia. Proceedings of the Prehistoric Society 31:147–212.

Tindale, N.B. 1937 Relationship of the extinct Kangaroo Island culture with cultures of Australia, Tasmania, and Malaya. Records of the South Australian Museum 6:39–60.",na,no,implicit,no,no,explicit,typological,Queensland,"definition contains no explicit functional component, but definition cited implies that there is one"
"Morwood, M.J. 1979 Art and stone: towards a prehistory of central western Queensland. PhD, Canberra, Australian National University.",thesis_phd,1979,96,multiplatform core,yes,subcategory,"""Cores of variable size with multiple striking platforms.""","Gould, R.A. 1977 Ethno-archaeology ; or, where do the models come from? In R.V.S. Wright (ed.), pp.162–168. Stone tools as cultural markers: change, evolution and complexity. Canberra, Australian Institute of Aboriginal Studies.

McCarthy, F.D. 1967 Australian Aboriginal stone implements: including bone, shell and tooth implements. Sydney, Australian Museum Trust.",na,no,implicit,explicit,no,explicit,typological,Queensland,"definition contains no explicit functional component, but definition cited implies that there is one"
"Morwood, M.J. 1979 Art and stone: towards a prehistory of central western Queensland. PhD, Canberra, Australian National University.",thesis_phd,1979,95-96,single-platform core,yes,subcategory,"""a flat, single platform core on which the flake scars rise obliquely from the circumference of the striking plane, to another level platform. If utilised, edge angles are oblique, and may exhibit step-fracturing, as well as feathered, unifacial edge damage on the dorsal edge. In some cases, severity of edge damage results in undercutting similar to that seen on horse-hoof cores.""",na,na,no,implicit,no,no,explicit,typological,Queensland,"definition contains no explicit functional component, but definition cited implies that there is one"
"Morwood, M.J. 1979 Art and stone: towards a prehistory of central western Queensland. PhD, Canberra, Australian National University.",thesis_phd,1979,87,core,cites,category,"Cites other definitions. ""The definitions of formal tool and waste types are variants of those in McCarthy, Brammell and Noone 1946), and McCarthy (1976b), with differences arrising because of the regional character of the industries.""","McCarthy, F.D. 1976 Australian Aboriginal stone implements: including bone, shell and tooth implements. Second. Sydney, Australian Museum Trust.

McCarthy, F.D., E. Bramwell, and H.V.V. Noone 1946 The stone implements of Australia. Australian Museum Memoir 9:1–94.",na,na,na,na,na,na,na,Queensland,
"Morwood, M.J. and D.R. Hobbs 1995 Themes in the prehistory of tropical Australia. Antiquity 69(265):747–768.",paper,1995,na,core-scraper,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Morwood, M.J. and D.R. Hobbs 1995 Themes in the prehistory of tropical Australia. Antiquity 69(265):747–768.",paper,1995,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"Morwood, M.J. and D.R. Hobbs 1995 Themes in the prehistory of tropical Australia. Antiquity 69(265):747–768.",paper,1995,na,bipolar core,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Morwood, M.J. and D.R. Hobbs 1995 Themes in the prehistory of tropical Australia. Antiquity 69(265):747–768.",paper,1995,760,split pebble,yes,subcategory,"""core pre-form""",na,na,no,implicit,no,explicit,explicit,typological,Australia,
"Morwood, M.J. and D.R. Hobbs 1995 Themes in the prehistory of tropical Australia. Antiquity 69(265):747–768.",paper,1995,na,burin core,yes,subcategory,"""Burin cores were used for production of small, thin blades of triangular cross-section, probably for hafting as spear barbs.""","Cundy, B.J. 1990 An analysis of the Ingaladdi assemblage : a critique of the understanding of lithic technology. PhD, Canberra, Australian National University.

Flenniken, J.J. and J.P. White 1985 Australian flaked stone tools: a technological perspective. Records of the Australian Museum 36:131–151.",na,no,explicit,no,no,no,typological,Australia,
"Muller, A. 2017 The role of experimental knapping in empirically testing key themes in the evolution of lithic technology: reduction intensity, efficiency behavioural complexity. Masters, Brisbane, University of Queensland.",thesis_masters,2017,na,core,no,category,na,na,na,na,na,na,na,na,na,global,
"Mulvaney, D.J. 1957 Research into the prehistory of Victoria: A criticism and a report on a field survey. Historical Studies: Australia and New Zealand 8(29):32–43.",paper,1957,na,core,no,category,na,na,na,na,na,na,na,na,na,Victoria,
"Mulvaney, D.J. 1959 Dating of Australian Prehistory. Nature 184(4690):918–918.",paper,1959,na,na,na,na,na,na,na,na,na,na,na,na,na,South Australia,
"Mulvaney, D.J. 1960 Recent Archaeological Excavations in Australia. The Journal of the Polynesian Society 69(2):151–153.",paper,1960,na,na,na,na,na,na,na,na,na,na,na,na,na,Australia,
"Mulvaney, D.J. 1966 The Prehistory of the Australian Aborigine. Scientific American 214(3):84–94.",paper,1966,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"Mulvaney, D.J. 1966 The Prehistory of the Australian Aborigine. Scientific American 214(3):84–94.",paper,1966,na,core tool,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Mulvaney, D.J. 1969 The prehistory of Australia. London, Thames & Hudson.",book,1969,na,unifacially flaked pebble,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Mulvaney, D.J. 1969 The prehistory of Australia. London, Thames & Hudson.",book,1969,na,horsehoof core,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Mulvaney, D.J. 1970 Green Gully revisited: the later excavations. Memoirs of the National Museum of Victoria 30:59–77.",paper,1970,na,core,no,category,na,na,na,na,na,na,na,na,na,Victoria,
"Mulvaney, D.J. 1970 Green Gully revisited: the later excavations. Memoirs of the National Museum of Victoria 30:59–77.",paper,1970,na,fabricator,no,category,na,na,na,na,na,na,na,na,na,Victoria,
"Mulvaney, D.J. 1971 Aboriginal social evolution: a retrospective review. In D.J. Mulvaney and J. Golson (eds), pp.368–380. Aboriginal man and environment in Australia. Canberra, Australian National University Press.",chapter,1971,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"Mulvaney, D.J. 1971 Aboriginal social evolution: a retrospective review. In D.J. Mulvaney and J. Golson (eds), pp.368–380. Aboriginal man and environment in Australia. Canberra, Australian National University Press.",chapter,1971,na,core tool,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Mulvaney, D.J. 1975 The prehistory of Australia. Revised edition. Harmondsworth, Pelican.",book,1975,"172, 174",horsehoof core,yes,subcategory,"""the horsehoof core, which, after suppling flakes, was re-used as a planing or chopping tool"" and ""the domed horsehoof core, with flat base and extensively step-flaked margins""",na,na,no,explicit,explicit,no,explicit,typological,Australia,
"Mulvaney, D.J. 1975 The prehistory of Australia. Revised edition. Harmondsworth, Pelican.",book,1975,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"Mulvaney, D.J. 1975 The prehistory of Australia. Revised edition. Harmondsworth, Pelican.",book,1975,189,fabricator,yes,subcategory,"""these are small cores or flakes possessing scaled flaking on opposed margins, which are also bruised and splintered. The flaking is usually bifacial and wroked from four edges, thus giving the artifact a quadrangular form not unlike a gun-flint; thewre seems to have been a preference for white quartz as a raw material""",na,na,no,explicit,explicit,explicit,explicit,typological,Australia,
"Mulvaney, D.J. 1975 The prehistory of Australia. Revised edition. Harmondsworth, Pelican.",book,1975,na,core-scraper,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Mulvaney, D.J. 1975 The prehistory of Australia. Revised edition. Harmondsworth, Pelican.",book,1975,na,unifacially flaked pebble,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Mulvaney, D.J. and E.B. Joyce 1965 Archaeological and Geomorphological Investigations on Mt. Moffatt Station, Queensland, Australia. Proceedings of the Prehistoric Society 31:147–212.",paper,1965,na,core,no,category,na,na,na,na,na,na,na,na,na,Queensland,
"Mulvaney, D.J. and E.B. Joyce 1965 Archaeological and Geomorphological Investigations on Mt. Moffatt Station, Queensland, Australia. Proceedings of the Prehistoric Society 31:147–212.",paper,1965,176,core-scraper,yes,subcategory,"""It describes those flat-based cores, possessing step-flaking or fine retouch around the base, which is more pronounced than might be expected on a mere core. Their semi-discoidal, and frequent concave-nosed working edge, would seem well suited for planing or gouging.""",na,na,no,explicit,explicit,no,explicit,typological,Queensland,
"Mulvaney, D.J. and E.B. Joyce 1965 Archaeological and Geomorphological Investigations on Mt. Moffatt Station, Queensland, Australia. Proceedings of the Prehistoric Society 31:147–212.",paper,1965,na,simple platform core,cites,subcategory,na,"McCarthy, F.D., E. Bramwell, and H.V.V. Noone 1946 The stone implements of Australia. Australian Museum Memoir 9:1–94.",na,na,na,na,na,na,na,Queensland,
"Mulvaney, D.J. and E.B. Joyce 1965 Archaeological and Geomorphological Investigations on Mt. Moffatt Station, Queensland, Australia. Proceedings of the Prehistoric Society 31:147–212.",paper,1965,na,alternate platform core,cites,subcategory,na,"McCarthy, F.D., E. Bramwell, and H.V.V. Noone 1946 The stone implements of Australia. Australian Museum Memoir 9:1–94.",na,na,na,na,na,na,na,Queensland,
"Mulvaney, D.J. and E.B. Joyce 1965 Archaeological and Geomorphological Investigations on Mt. Moffatt Station, Queensland, Australia. Proceedings of the Prehistoric Society 31:147–212.",paper,1965,175,flatbase circular core,yes,subcategory,"""Some cores, however, had been struck transversly, so as to provide a flat platform from which to strike flakes with a resulting flatbased, circular core.""",na,na,no,implicit,explicit,no,explicit,typological,Queensland,
"Mulvaney, D.J. and E.B. Joyce 1965 Archaeological and Geomorphological Investigations on Mt. Moffatt Station, Queensland, Australia. Proceedings of the Prehistoric Society 31:147–212.",paper,1965,176,blade core,yes,subcategory,"""small cores, bearing the characteristic narrow flutings""",na,na,no,implicit,explicit,no,explicit,typological,Queensland,
"Mulvaney, D.J. and E.B. Joyce 1965 Archaeological and Geomorphological Investigations on Mt. Moffatt Station, Queensland, Australia. Proceedings of the Prehistoric Society 31:147–212.",paper,1965,na,core-tool,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Mulvaney, D.J. and E.B. Joyce 1965 Archaeological and Geomorphological Investigations on Mt. Moffatt Station, Queensland, Australia. Proceedings of the Prehistoric Society 31:147–212.",paper,1965,na,horsehoof core,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Mulvaney, D.J. and E.B. Joyce 1965 Archaeological and Geomorphological Investigations on Mt. Moffatt Station, Queensland, Australia. Proceedings of the Prehistoric Society 31:147–212.",paper,1965,na,flaked pebble tool,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Mulvaney, D.J. and E.B. Joyce 1965 Archaeological and Geomorphological Investigations on Mt. Moffatt Station, Queensland, Australia. Proceedings of the Prehistoric Society 31:147–212.",paper,1965,na,bifacially flaked core,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Mulvaney, D.J. and E.B. Joyce 1965 Archaeological and Geomorphological Investigations on Mt. Moffatt Station, Queensland, Australia. Proceedings of the Prehistoric Society 31:147–212.",paper,1965,na,prepared platform core,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Mulvaney, D.J. and J. Kamminga 1999 Prehistory of Australia. St Leonards, Allen & Unwin.",book,1999,426,core or nucleus,yes,category,"""A piece of stone, often a cobble or pebble but also quarried stone, from which flakes have been struck for toolmaking""",na,broad,no,explicit,no,no,no,typological,Australia,
"Mulvaney, D.J. and J. Kamminga 1999 Prehistory of Australia. St Leonards, Allen & Unwin.",book,1999,"46, 215",horsehoof core,yes,subcategory,"""most horsehoof cores probably were discarded cobble and block cores, and not tools"" and ""has a characteristic undercut striking platform. In an upside-down position it resembles a horse's hoof, hence the name. This core type is derived from a split cobble or a blocky piece of stone, usually silcrete or an igneous rock that has one or more naturally flat surfaces. These faces served as striking platforms for flake detachment. When on flat surface became exhausted by repeated detachments, increasingly failed ones, the core was rotated and another flat surface struck by a hammer, until it was also spent. As flakes were struck progressively around the periphery of the cobble or block, the core became wider towards its base. This happens because flakes sometimes stop short in a hinge or step-like break, and therefore stone is removed from the upper part of the core in greater volume than from its lower part.""",na,na,no,explicit,explicit,explicit,explicit,typological,Australia,
"Mulvaney, D.J. and J. Kamminga 1999 Prehistory of Australia. St Leonards, Allen & Unwin.",book,1999,215,bipolar core,yes,subcategory,"(Bipolar flaking) ""is an efficient way of producing small, sharp fragments from a very small core, and is done by holding a piece of stone, commonly a small quartz pebble, on a hard surface and smashing it with a hammerstone. After a few blows the core sustains distinctive battering damage which is easily recognised, especially when slightly magnified... The discarded bipolar cores tend to be roughly rectangular or wedge-shaped.""",na,na,no,no,explicit,explicit,explicit,typological,Australia,
"Mulvaney, D.J. and J. Kamminga 1999 Prehistory of Australia. St Leonards, Allen & Unwin.",book,1999,na,core tool,yes,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Mulvaney, K. 2018 Murujuga at a crossroads: considering the evidence of nineteenth-century contact, Dampier Archipelago, northwest Australia. Australian Archaeology 84(3):248–262.",paper,2018,na,na,na,na,na,na,na,na,na,na,na,na,na,Western Australia,
"Mulvaney, K.J. 1997 More than a chip off the old block. A prehistoric sandstone quarry: the notion of production and exchange. MA, Darwin, Northern Territory University.",thesis_masters,1997,87,multifaceted core,yes,subcategory,"""Multifaceted cores are those which have been rotated to remove flakes from two or more platforms""",na,na,no,no,no,no,explicit,typological,Northern Territory,
"Mulvaney, K.J. 1997 More than a chip off the old block. A prehistoric sandstone quarry: the notion of production and exchange. MA, Darwin, Northern Territory University.",thesis_masters,1997,87,single-platform core,yes,subcategory,"""Single-platform cores are those which exhibit uni-directional flake removal from one surface (either natural or prepared)""",na,na,no,no,no,no,explicit,typological,Northern Territory,
"Mulvaney, K.J. 1997 More than a chip off the old block. A prehistoric sandstone quarry: the notion of production and exchange. MA, Darwin, Northern Territory University.",thesis_masters,1997,87,core,yes,category,"""the parent rock (core) from which a flake is detached""",na,broad,no,no,no,no,explicit,typological,Northern Territory,
"Munt, S. 2016 A Technological Analysis of Stone Artefacts from Allen’s Cave, South Australia. Masters, Adelaide, Flinders University.",thesis_masters,2016,70,core,yes,category,"""A ‘core’ is a stone artefact with one or more negative bulbs of percussion and one or more negative flake scars, and no ventral surface. However, a flake can also be a core if there are non-retouch negative flake scars that were clearly removed after the flake was struck from the core. In this case a note is made on the recording sheet that the artefact is a ‘flake that has been used as a core’ (this definition has been adapted from a range of interpretations provided in Holdaway and Stern [2004:37–40, 179–211])""","Holdaway, S. and N. Stern 2004 A record in stone: the study of Australia’s flaked stone artefacts. Canberra, Aboriginal Studies Press.",broad,no,explicit,no,no,explicit,typological,South Australia,
"Munt, S. 2016 A Technological Analysis of Stone Artefacts from Allen’s Cave, South Australia. Masters, Adelaide, Flinders University.",thesis_masters,2016,71,unidirectional core,yes,subcategory,"""‘Unidirectional core’: a core on which negative flake scars demonstrate that flakes have been struck from one or more platforms on the core, in one direction (Andrefsky 2010:82; Holdaway and Stern 2004:180; Figure 5.6c). ‘Unidirectional core’ is preferred over the similar ‘blade core’ because the former caters for negative flake scars of all lengths and widths whereas the latter, using ‘blade’—a flake whose length is at least twice that of its width (Holdaway and Stern 2004:16)—implies exclusion of cores with shorter negative flake scars.""","Andrefsky Jr., W., editor 2010 Lithic Technology: Measures of Production, Use and Curation. 4th Edition. Cambridge, Cambridge University Press.

Holdaway, S. and N. Stern 2004 A record in stone: the study of Australia’s flaked stone artefacts. Canberra, Aboriginal Studies Press.",na,no,implicit,no,no,explicit,typological,South Australia,
